

|variable              |     n| missing| missing_pct| unique| unique_pct|      mean|  min|       Q1|  median|      Q3|     max|        sd|
|:---------------------|-----:|-------:|-----------:|------:|----------:|---------:|----:|--------:|-------:|-------:|-------:|---------:|
|patientID             | 57855|       0|       0.000|  57855|    100.000| 49203.429| 1001| 25106.50| 49212.0| 73317.0| 97421.0| 27816.902|
|admission_type        | 57855|       0|       0.000|      8|      0.014|     2.039|    1|     1.00|     1.0|     3.0|     8.0|     1.461|
|discharge_disposition | 57855|       0|       0.000|     22|      0.038|     3.040|    1|     1.00|     1.0|     3.0|    28.0|     4.500|
|admission_source      | 57855|       0|       0.000|     17|      0.029|     5.786|    1|     1.00|     7.0|     7.0|    25.0|     4.110|
|time_in_hospital      | 57855|       4|       0.007|     15|      0.026|     4.363|    1|     2.00|     4.0|     6.0|    14.0|     2.953|
|indicator_level       | 57855|       6|       0.010|   9975|     17.241|    49.850| -869|    24.79|    49.7|    74.8|   999.0|    29.685|
|indicator_2_level     | 57855|   28809|      49.795|   7432|     12.846|    25.092| -682|     6.93|    18.8|    38.0|    99.3|    22.381|
|num_lab_procedures    | 57855|       1|       0.002|    115|      0.199|    42.956|    1|    31.00|    44.0|    57.0|   132.0|    19.839|
|num_procedures        | 57855|       0|       0.000|      7|      0.012|     1.325|    0|     0.00|     1.0|     2.0|     6.0|     1.699|
|num_medications       | 57855|       0|       0.000|     74|      0.128|    15.994|    1|    10.00|    15.0|    20.0|    81.0|     8.052|
|number_outpatient     | 57855|       0|       0.000|     37|      0.064|     0.386|    0|     0.00|     0.0|     0.0|    42.0|     1.318|
|number_emergency      | 57855|       0|       0.000|     30|      0.052|     0.207|    0|     0.00|     0.0|     0.0|    64.0|     0.958|
|number_inpatient      | 57855|       0|       0.000|     19|      0.033|     0.626|    0|     0.00|     0.0|     1.0|    19.0|     1.251|
|number_diagnoses      | 57855|       0|       0.000|     16|      0.028|     7.430|    1|     6.00|     8.0|     9.0|    16.0|     1.935|
|readmitted            | 57855|       0|       0.000|      2|      0.003|     0.471|    0|     0.00|     0.0|     1.0|     1.0|     0.499|
